iter	Passed	Remaining
0	58	58545
1	63	31757
2	69	22961
3	73	18361
4	78	15617
5	84	14006
6	89	12643
7	93	11654
8	99	10906
9	105	10438
10	110	9930
11	116	9604
12	121	9233
13	126	8888
14	131	8635
15	136	8374
16	141	8174
17	146	7996
18	151	7840
19	167	8231
20	183	8544
21	187	8355
22	192	8184
23	198	8069
24	206	8042
25	213	7996
26	219	7897
27	224	7785
28	229	7674
29	234	7573
30	238	7456
31	243	7363
32	248	7279
33	253	7201
34	257	7104
35	264	7078
36	269	7013
37	275	6964
38	279	6893
39	284	6822
40	288	6754
41	293	6705
42	298	6645
43	302	6581
44	307	6520
45	312	6478
46	317	6436
47	323	6407
48	328	6368
49	333	6328
50	338	6303
51	343	6262
52	348	6231
53	353	6185
54	357	6149
55	362	6109
56	366	6067
57	371	6026
58	378	6035
59	390	6116
60	408	6286
61	415	6281
62	420	6256
63	426	6238
64	431	6202
65	435	6167
66	442	6164
67	450	6176
68	455	6150
69	461	6130
70	465	6095
71	467	6022
72	473	6009
73	478	5988
74	483	5968
75	489	5946
76	494	5927
77	498	5896
78	504	5880
79	509	5859
80	514	5839
81	519	5811
82	524	5794
83	529	5772
84	533	5747
85	538	5720
86	543	5700
87	547	5676
88	553	5665
89	558	5645
90	562	5620
91	567	5603
92	573	5589
93	577	5570
94	582	5545
95	587	5531
96	593	5520
97	597	5499
98	602	5485
99	607	5470
100	611	5447
101	617	5432
102	621	5414
103	626	5394
104	630	5377
105	636	5364
106	640	5348
107	645	5328
108	649	5309
109	654	5297
110	659	5281
111	664	5267
112	670	5266
113	675	5252
114	680	5238
115	686	5229
116	690	5214
117	696	5202
118	700	5185
119	705	5173
120	710	5160
121	715	5145
122	720	5134
123	724	5118
124	728	5101
125	733	5089
126	738	5075
127	742	5059
128	747	5045
129	751	5029
130	756	5016
131	760	5002
132	765	4989
133	770	4976
134	774	4962
135	779	4951
136	784	4944
137	789	4934
138	794	4922
139	799	4910
140	804	4899
141	808	4886
142	813	4875
143	818	4867
144	823	4853
145	827	4841
146	833	4839
147	839	4831
148	844	4821
149	849	4814
150	854	4803
151	863	4816
152	883	4890
153	897	4931
154	902	4919
155	907	4911
156	913	4906
157	922	4915
158	927	4904
159	932	4895
160	936	4881
161	941	4868
162	946	4861
163	951	4850
164	956	4838
165	961	4830
166	966	4821
167	971	4809
168	977	4804
169	981	4793
170	986	4782
171	991	4771
172	996	4764
173	1001	4753
174	1005	4741
175	1011	4734
176	1016	4725
177	1021	4716
178	1027	4712
179	1032	4705
180	1037	4693
181	1042	4685
182	1047	4676
183	1052	4665
184	1056	4655
185	1062	4648
186	1066	4637
187	1071	4626
188	1075	4615
189	1080	4606
190	1085	4597
191	1090	4588
192	1096	4584
193	1100	4573
194	1105	4565
195	1111	4558
196	1116	4550
197	1120	4538
198	1125	4529
199	1131	4524
200	1135	4514
201	1141	4509
202	1146	4502
203	1151	4493
204	1156	4484
205	1161	4476
206	1166	4468
207	1171	4459
208	1176	4451
209	1181	4443
210	1187	4438
211	1192	4431
212	1196	4422
213	1201	4412
214	1206	4405
215	1213	4403
216	1218	4395
217	1223	4389
218	1229	4383
219	1233	4373
220	1238	4365
221	1243	4357
222	1248	4349
223	1253	4341
224	1258	4335
225	1262	4325
226	1267	4315
227	1272	4309
228	1277	4302
229	1282	4292
230	1287	4284
231	1291	4276
232	1296	4268
233	1301	4259
234	1307	4256
235	1312	4248
236	1317	4240
237	1321	4232
238	1327	4226
239	1331	4217
240	1337	4210
241	1342	4203
242	1346	4195
243	1351	4188
244	1357	4183
245	1370	4199
246	1379	4204
247	1388	4210
248	1393	4201
249	1398	4194
250	1403	4188
251	1408	4181
252	1414	4176
253	1423	4179
254	1429	4175
255	1435	4173
256	1440	4165
257	1445	4157
258	1452	4154
259	1456	4146
260	1461	4137
261	1467	4132
262	1472	4124
263	1476	4115
264	1481	4108
265	1487	4103
266	1491	4094
267	1496	4086
268	1501	4079
269	1506	4072
270	1511	4064
271	1515	4055
272	1520	4048
273	1524	4038
274	1529	4033
275	1534	4024
276	1539	4017
277	1543	4009
278	1549	4004
279	1553	3995
280	1558	3988
281	1563	3981
282	1569	3975
283	1573	3966
284	1578	3960
285	1583	3953
286	1588	3945
287	1592	3938
288	1597	3931
289	1603	3924
290	1607	3916
291	1612	3909
292	1617	3902
293	1621	3894
294	1627	3888
295	1632	3882
296	1636	3874
297	1641	3866
298	1646	3860
299	1651	3854
300	1656	3846
301	1661	3839
302	1666	3832
303	1670	3824
304	1675	3818
305	1680	3811
306	1685	3804
307	1690	3797
308	1695	3791
309	1700	3785
310	1706	3779
311	1710	3771
312	1715	3765
313	1719	3757
314	1724	3750
315	1728	3742
316	1734	3736
317	1738	3729
318	1743	3723
319	1748	3715
320	1753	3708
321	1758	3702
322	1762	3695
323	1767	3688
324	1772	3681
325	1777	3674
326	1782	3667
327	1786	3659
328	1791	3653
329	1796	3647
330	1800	3639
331	1805	3632
332	1810	3627
333	1815	3619
334	1819	3612
335	1824	3606
336	1830	3600
337	1835	3594
338	1839	3587
339	1844	3581
340	1849	3574
341	1855	3569
342	1859	3561
343	1869	3565
344	1889	3587
345	1894	3581
346	1900	3575
347	1904	3569
348	1913	3568
349	1918	3563
350	1924	3557
351	1928	3550
352	1932	3542
353	1938	3536
354	1943	3531
355	1948	3524
356	1953	3518
357	1958	3511
358	1963	3505
359	1967	3498
360	1972	3492
361	1977	3485
362	1982	3478
363	1987	3473
364	1993	3467
365	1997	3459
366	2001	3452
367	2006	3446
368	2012	3441
369	2017	3434
