iter	Passed	Remaining
0	52	52253
1	57	28719
2	63	21223
3	69	17276
4	74	14739
5	78	13078
6	83	11899
7	88	10949
8	92	10228
9	99	9842
10	104	9414
11	110	9078
12	115	8744
13	120	8493
14	125	8244
15	129	7983
16	134	7761
17	138	7565
18	143	7414
19	148	7271
20	152	7125
21	157	6986
22	161	6870
23	166	6785
24	172	6718
25	177	6649
26	182	6582
27	187	6510
28	192	6444
29	197	6390
30	202	6341
31	208	6312
32	214	6290
33	220	6262
34	227	6268
35	234	6282
36	240	6271
37	247	6263
38	254	6263
39	262	6309
40	270	6319
41	276	6305
42	282	6280
43	287	6237
44	291	6193
45	298	6192
46	303	6160
47	308	6125
48	315	6124
49	321	6105
50	327	6089
51	332	6064
52	337	6037
53	343	6014
54	349	6000
55	354	5971
56	360	5963
57	365	5935
58	371	5918
59	377	5919
60	384	5923
61	391	5926
62	399	5936
63	414	6066
64	430	6189
65	436	6183
66	447	6237
67	454	6235
68	461	6230
69	469	6235
70	478	6259
71	484	6249
72	490	6230
73	496	6217
74	501	6188
75	511	6221
76	523	6274
77	531	6281
78	537	6264
79	549	6318
80	571	6487
81	580	6493
82	587	6491
83	594	6477
84	602	6484
85	610	6485
86	616	6469
87	634	6579
88	644	6596
89	651	6585
90	661	6611
91	676	6676
92	683	6664
93	691	6664
94	697	6644
95	705	6639
96	716	6667
97	725	6677
98	733	6675
99	741	6676
100	748	6662
101	754	6646
102	761	6629
103	769	6631
104	775	6612
105	783	6611
106	791	6607
107	819	6771
108	838	6854
109	844	6833
110	866	6940
111	871	6907
112	877	6886
113	883	6866
114	889	6843
115	894	6814
116	901	6806
117	907	6781
118	912	6753
119	919	6741
120	924	6718
121	929	6687
122	935	6666
123	940	6643
124	949	6643
125	954	6621
126	960	6599
127	965	6577
128	971	6557
129	976	6537
130	982	6514
131	987	6496
132	993	6477
133	999	6459
134	1004	6437
135	1009	6415
136	1015	6395
137	1020	6376
138	1025	6352
139	1030	6329
140	1037	6317
141	1042	6296
142	1048	6283
143	1053	6263
144	1058	6242
145	1064	6224
146	1068	6201
147	1073	6179
148	1078	6157
149	1082	6135
150	1087	6113
151	1091	6089
152	1096	6071
153	1100	6048
154	1105	6028
155	1110	6007
156	1115	5987
157	1121	5977
158	1129	5974
159	1135	5959
160	1141	5947
161	1147	5937
162	1152	5918
163	1156	5894
164	1161	5877
165	1166	5861
166	1171	5841
167	1175	5823
168	1179	5800
169	1183	5776
170	1186	5754
171	1190	5731
172	1194	5710
173	1197	5686
174	1201	5663
175	1204	5641
176	1209	5622
177	1212	5599
178	1216	5578
179	1220	5558
180	1224	5542
181	1229	5523
182	1233	5507
183	1237	5488
184	1242	5473
185	1246	5455
186	1250	5434
187	1253	5415
188	1257	5397
189	1261	5378
190	1265	5359
191	1268	5339
192	1272	5321
193	1276	5303
194	1279	5284
195	1283	5265
196	1287	5249
197	1291	5232
198	1295	5214
199	1299	5196
200	1302	5178
201	1306	5161
202	1310	5143
203	1313	5126
204	1317	5108
205	1320	5091
206	1324	5075
207	1328	5060
208	1332	5043
209	1336	5027
210	1341	5014
211	1344	4997
212	1348	4980
213	1351	4965
214	1356	4952
